"DISTRITO","COD","Nombre"
"BUENOS AIRES","02","Buenos Aires"
"CAPITAL FEDERAL","01","Ciudad de Buenos Aires"
"CATAMARCA","03","Catamarca"
"CHACO","06","Chaco"
"CHUBUT","07","Chubut"
"CORDOBA","04","Córdoba"
"CORRIENTES","05","Corrientes"
"ENTRE RIOS","08","Entre Ríos"
"FORMOSA","09","Formosa"
"JUJUY","10","Jujuy"
"LA PAMPA","11","La Pampa"
"LA RIOJA","12","La Rioja"
"MENDOZA","13","Mendoza"
"MISIONES","14","Misiones"
"NEUQUEN","15","Neuquén"
"RIO NEGRO","16","Río Negro"
"SALTA","17","Salta"
"SAN JUAN","18","San Juan"
"SAN LUIS","19","San Luis"
"SANTA CRUZ","20","Santa Cruz"
"SANTA FE","21","Santa Fe"
"SANTIAGO DEL ESTERO","22","Santiago del Estero"
"TIERRA DEL FUEGO","24","Tierra del Fuego"
"TUCUMAN","23","Tucumán"
"ORDEN NACIONAL","99","Orden Nacional"
